document,ent1,ent1_start,ent1_end,ent2,ent2_start,ent2_end,relation
"The purpose of this study is to ( a ) investigate the impact of workforce diversity management on job match , job satisfaction , and job performance ; ( b ) test the influencing role of job match on job satisfaction and job performance ; and ( ) examine the mediating role of a person 's job match on the association between workforce diversity management and employees ' outcomes ( job satisfaction and job performance ) . Structured questionnaires were sent to employees working in five - star hotels in China . In total , 324 valid responses were analyzed through AMOS - SEM to draw the statistical conclusion . Overall , results revealed that workforce diversity management is positively related to a person 's job match , job satisfaction , and job performance . Next , a person 's job match is positively related to job satisfaction and job performance , in particular a person 's job match mediates the relationship between workforce diversity management and employees ' outcomes . Most of the studies in the area of workforce diversity management focused on the management of diversity such as age , gender , race , and ethnicity from American perspective . This could be among rare studies which investigate another aspect of workforce diversity management , such as management of diversity on the basis of skills , knowledge , interest , and preferences of employees from the Chinese perspective .",Structured questionnaires,77,79,preferences,233,234,no relation found
"At the start of each session , one of the participants presented the ideation topic , after which a common groupanalysis of the topic took place in order to identify causes of problems and known solutions to problems . Thereafter , one of the methods was tried . The first author presented the instructions for the method concerned to the group by Individual / group / total ideation time ( min ) 635 30/0/30 1 . Each participant works individually during 5 min and comes up with at least three suggestions on how to address the ideation topic .",each session,4,6,place,25,26,"In each session, common group analysis took place."
"As described in Section 2 , architectures with tagged pointers support may have different tag sizes , cache hierarchies , and other parameters . Moreover , these architectures are not supported by state - of - the - art research JVMs . To make our study more general , and to utilize research JVMs while evaluating the proposed HW - assisted CIP elimination technique , we opted for a simulation - based approach .",Section,3,4,research,39,40,"As described in Section 2, these architectures are not supported by state - of - the - art research JVMs."
"In this paper , we present a 3D listening system using a single microphone in combination with the ME , which functionally mimics the listening capability of the human auditory system . A well - designed ME is used to break the original omnidirectional measurement mode of the single microphone . And a joint algorithm VSPCA - OMP is presented to solve the multisource listening problem , which has the advantages of low computational complexity and good real- time performance . Listening tests were conducted in several common scenarios , in which 16 speakers emitted sound signals from various directions in 3D space . The test results show that the MSLS is capable of localizing multiple sound sources while simultaneously separating audio contents from the mixed signals within 1 Due to the low computational complexity of the reconstruction algorithm , the proposed system can also be applied in source identification and tracking . We envision that the MSLS can be useful for multisource speech recognition and segregation , which is desired in intelligent scene monitoring and robot audition . In the future , denoising algorithm can be added in the signal processing procedure to enhance robustness in complex environments .",ME,18,19,the multisource listening problem,62,66,no relation found
"Candidates with a high score might develop a discussion topic using lexical items which are less common and this portrayed them as having higher level of cognitive processing . Also , the candidates at a higher level displayed the ability to construct a sentence with more complex sentence patterns . : Yeah , so how can distract our attention to the virtual world and focus our attention on the real world ? So what can we do ? In this extract , the candidate demonstrated a number of speaking features that may positively impact his score . First , he asked questions to other candidates , which is a way for eliciting others ' opinions and initiating the discussion . In this regard , he acted as the role of facilitator in this discussion ; in doing so , he positioned himself as a high achiever . He also employed a number of less commonly used vocabulary related to the topic compared with other candidates , e.g. , "" temptation "" , and "" addict "" , "" virtual "" .",what,73,74,questions,101,102,no relation found
"In the function specifications , components and parameters are used in together with verbs and prepositions following a fixed format . A sentence specifying a function describes either a goal function or a transformation function . A goal function describes the purpose of a component with respect to the other components of the system . For example , the goal function ' Component x provides power to component y' , denotes that the purpose of component is to provide power to component . A transformation function describes the transformation of flow that occurs within a component .",A transformation function,83,86,power,65,66,no relation found
"When consumers feel that experts do not listen and therefore do not tailor their care , consumers ' needs are either not met or are not met in a timely manner . One consumer 's digital story includes an image of males in "" slave gangs "" followed by an image of the Australian Indigenous flag . The images are accompanied by the consumer 's voice over that refers to experts "" not listening because they do n't have to "" ( P13A49 ) . The symbolism of the images links the consumer 's cultural identity to concepts of oppression and exclusion , which are expressed in the consumer 's spoken words .",consumers ' needs,16,19,experts,4,5,Consumers ' needs are not met when ignored by experts.
"Regularly performing penetration tests and vulnerability scans are recommended by auditors and demanded by customers to validate adequate security mechanisms and to identify system vulnerabilities . By attempting to execute prohibited behavior or attacks on vulnerabilities , auditors can verify that such behavior is prevented or detected and compensated . A broad variety of corporate and open-source tools exist to support efficient penetration testing and vulnerability scanning ( e.g. , Qualys ) . These tools provide a variety of ( semi - ) automated functions ( e.g. , scan network ports , identify running services , analyze and test well - known vulnerabilities ) , and can be individually configured based upon an auditee 's context . Performing extensive penetration tests on a continuous basis ( e.g. , weekly ) might be limited since they still require high manual efforts . Thus , future research should evaluate how to design automated auditing processes that use penetration tests to validate security measures .",A broad variety,50,53,well - known vulnerabilities,99,103,no relation found
"Next , an FCA die to serve both as a power source and as a heat sink is introduced and the resulting possible 3D stack topologies are explored . For the moment , we only consider the current state - of - the - art FCAs that can deliver power densities of the order of 1W / cm 2 - sufficient only to power current memory devices . We call these architectures "" Case "" . By rearranging the positions of the MPU , memory and the FCA as the top chip ( TC ) , middle chip ( MC ) and bottom chip ( BC ) , six different permutations can be obtained which are illustrated in Figs . 4A1 , 4 A2 , 4 A3 , 4A4 , 4A5 , and 4A6 . With three dies , there are five levels of interconnects ( from bottom ) : C4s , BC TSVs , bottom ( connecting BC and MC ) , MC TSVs and top ( connecting MC and TC ) . By changing the orientation of the three dies ( i.e. , facing up or down ) many more permutations can be obtained making the total number of possible designs too large to perform any meaningful analysis . Hence , for each permutation of die positions , only those die orientations that minimized the number of TSVs in the design were selected . In case of a conflict between two different die orientation - permutations with similar number of total interconnects , the one that minimizes power interconnects was chosen .",middle chip,96,98,these architectures,70,72,no relation found
"RYPTOGRAPHIC applications are essential for many systems that rely on secure communications , authentication , and digital signatures . In accordance with the rapid increase in Internet of Things ( IoT ) applications , numerous cryptographic algorithms are now required to be implemented in resource - constrained devices and embedded systems with high throughput and efficiency . Advanced Encryption Standard ( AES ) is an ISO / IEC 18033 standard symmetric cipher that is one of the most widely used ciphers around the world . Since the publication of AES at 2001 , many hardware implementations for AES have been proposed and evaluated for CMOS logic technologies . Studies of AES design and implementation are important from both practical and academic perspectives since AES employs a substitution permutation network ( SPN ) structure and the major subfunctions , which are followed by many other security primitives .",AES,61,62,the most widely used ciphers,76,81,AES is one of the most widely used ciphers
"At the far right hand side of each of the graphs , performance is reduced in that the average number of steps required for repair increases . This indicates situations where it is hard for the algorithm to find configurations that work , and so more steps are required when trying to recover from faults . Reducing the bias slightly to include some input swapping clearly helps in these situations . Generally , a trend towards better repair performance can be observed when branch operations are more likely used . However , the cost of these operations is also higher .",the graphs,9,11,performance,12,13,The graphs show show reduced performance as steps increase.
"The dependence among different failure modes may have a great impact on the system reliability analysis . When calculating joint failure probability , it is necessary to establish the joint probability distribution model of two failure modes to estimate the system reliability . At present , copulas have been proved to be an effective tool for establishing joint failure probability model .",different failure modes,3,6,joint failure probability model,57,61,different failure modes can be identified by a joint failure probability model.
"A steady incompressible and viscous flow from a compressed air tank plugged an air hose to it . The end of the air hose connected to an inlet ATR , when the tank tap opened slightly and a digital anemometer airflow recorded the air velocity and volume air flow rate . The air hose conveyed the air to the inlet ATR that filters the moisture and released the dried air through the outlet ATR that has a digital manometer attached to record the instant pressure for the rotational speed . From the digital manometer , the ( non-moisture ) flown through a one-dimensional inlet nozzle inclined at 19 0 on the periphery of the confined cylinder ( experimental bladeless turbine ) . The ejects dry air through the inlet nozzle was tangential to the outer radius of the rotational discs and uniformly furnished independently each even spaced between the rotating discs . The ejected dry air formed the main body in between the discs started to rotate due to viscosity with the centrifugal force acts on the fluid that caused all discs to rotate in the same direction . More so , all the flow was used to generate useful work on the rotor and the rotating discs mounted on the shaft was connected to DC motor as shown in .",The ejects,122,124,the air,21,23,no relation found
"This article presents an approach to lithium - ion battery state of charge estimation based on the quadrature Kalman filter . Among the existing state of charge estimation approaches , the extended Kalman filter - based state of charge and unscented filter - based state of charge algorithms are influenced by the linearization or the solution of sigma points . The proposed quadrature Kalman filter - based state of charge algorithm avoids these problems . Specifically , the battery system equations are built based on the second - order resistance - capacitance equivalent circuit model , and the parameters are identified according to the hybrid pulse power characterization discharging test . Then , the quadrature points and corresponding weights are defined by the Gauss - Hermite quadrature rule , and the Kronecker tensor product is adopted to solve the points of multivariate . In addition , the stability of quadrature Kalman filter - based state of charge is verified . Finally , the simulation is carried out under the discharging and urban dynamometer driving schedule condition , which demonstrates that the quadrature Kalman filter - based state of charge algorithm has a better performance compared with extended Kalman filter - based state of charge and unscented filter - based state of charge .",quadrature Kalman filter - based state,62,68,sigma points,57,59,no relation found
"Evaluations of power primes . When asked whether they enjoyed participating in recall - based power - priming research , 54 of participants reported "" usually no , "" 19 reported "" usually yes , "" 7 reported "" not sure , "" and 20 reported having "" no opinion . "" Of the 113 participants who reported disliking such priming , 107 produced usable responses , and these 107 responses contained 143 explanations categorized into the seven explanatory categories reported below from most to least commonly encountered . These categories include ( a ) disliking recall , ( b ) disliking writing , ( ) asking too much from participants , ( ) finding the research boring , ( ) depressing , ( ) ineffective , and ( ) generally disliking power .",participants,22,23,these 107 responses,68,71,participants produced these 107 responses.
"The widespread popularity of additive manufacturing in most industries ranging from biomedical to aerospace suggests a transformation in manufacturing , which has recently also emerged in the construction sector . This paper presents an active system for the extrusion - based 3D printing of cementitious materials . The system can be extended to other materials and scaled up with slight hardware modifications . The proposed system uses an unconventional yet simplistic approach to generate a consistent output of material throughout the printing process . The effectiveness of the extruder is demonstrated through an extensive printing and testing of various cementitious - based materials . The printing and material parameters , which are essential for high mechanical strength printed object were investigated and optimized through a logical iterative loop of trials . The results showed the shape retention of 3D printed objects using the proposed design of extrusion - based system in conjunction with optimized rheology of cementitious - based materials was encouraging for larger scale 3D printing .",aerospace,13,14,other materials,53,55,no relation found
"In this paper , we propose a new kernel fusion technique for fast convolution algorithms which avoids the problem of memory capacity while keeping the advantages of kernel fusion . In the following of this paper , Section 4 introduces our kernel fusion technique based on heterogeneous megakernels . Performance optimization of the fused kernel depends on an task mapping algorithm , which is analyzed in Section 5 . The implementation of task scheduler is explained in Section 6 .",the following,31,33,Section,37,38,"In the following of this paper , Section 4 introduces our kernel fusion technique."
"The electoral commissioner is described as a "" witch "" and a "" liar "" . The use of the pronoun you in the phrase "" a liar like you , Charlote Osei "" indicates a direct attack on her integrity . The commenter reinforces the attack as they elongate tweaa just like the commenter in Example 7 and ends the comment with it . The use of tweaa in addition to witch and liar is a signal to the public to treat the commissioner 's assertion with contempt , and subsequently , disregard it . This comment exemplifies the use of tweaa as a self - contained utterance . This independent use of tweaa suggests that the commenter is aware of certain characteristics of the electoral commissioner that run converse to the characteristics of a person who cannot be influenced . Instead of giving details , the commenter expresses their contempt for her with only the interjection , considering its rhetoric power . This commenter stretches the interjection to let other participants know the intensity of their negative feelings towards the electoral commissioner .",This independent use,110,113,the phrase,23,25,no relation found
"The impact of the real price of rice on the structural change process discussed above is likely to be at least partly dependent on its impact on the real wage . Thus , the empirical relationship between the real price of rice and the real wage needs to be explored . Data necessary to construct a sophisticated econometric model that would allow for the determination of the direction of causality and the elimination of endogeneity issues are not available . However , a simple model that seeks to determine if a relationship exists between the real price of rice and the real wage in manufacturing can be constructed . Similar to the estimation carried out for Equation ( 1 ) , before we can begin any empirical analysis , we have to first check for stationarity of the variables being considered given that they are time series variables . The augmented Dickey - Fuller test reveals that the real wage variable and the variable measuring rice price both have unit roots . First , differencing the real wage variable and second , differencing the rice price variable make these variables stationary . All variables utilized in the empirical analysis are stationary . The empirical analysis is based on performing a VAR estimation that is commonly utilized in multivariate time series analysis . Another possible estimation method was the vector error correction ( VEC ) method , but cointegration tests showed that VEC was not suitable for this particular analysis .",price,5,6,method,225,226,no relation found
"Microgrid with hybrid renewable energy sources is a promising solution where the distribution network expansion is unfeasible or not economical . Integration of renewable energy sources provides energy security , substantial cost savings and reduction in greenhouse gas emissions , enabling nation to meet emission targets . Microgrid energy management is a challenging task for microgrid operator ( MGO ) for optimal energy utilization in microgrid with penetration of renewable energy sources , energy storage devices and demand response . In this paper , optimal energy dispatch strategy is established for grid connected and standalone microgrids integrated with photovoltaic ( PV ) , wind turbine ( WT ) , fuel cell ( FC ) , micro turbine ( MT ) , diesel generator ( DG ) and battery energy storage system ( ESS ) . Techno-economic benefits are demonstrated for the hybrid power system . So far , microgrid energy management problem has been addressed with the aim of minimizing operating cost only . However , the issues of power losses and environment i.e. , emission - related objectives need to be addressed for effective energy management of microgrid system . In this paper , microgrid energy management ( MGEM ) is formulated as mixedinteger linear programming and a new multi-objective solution is proposed for MGEM along with demand response program . Demand response is included in the optimization problem to demonstrate it 's impact on optimal energy dispatch and techno-commercial benefits . Fuzzy interface has been developed for optimal scheduling of ESS . Simulation results are obtained for the optimal capacity of PV , WT , DG , MT , FC , converter , BES , charging / discharging scheduling , state of charge of battery , power exchange with grid , annual net present cost , cost of energy , initial cost , operational cost , fuel cost and penalty of greenhouse gases emissions . The results show that CO 2 emissions in standalone hybrid microgrid system is reduced by 51.60 compared to traditional system with grid only . Simulation results obtained with the proposed method is compared with various evolutionary algorithms to verify it 's effectiveness .",Integration,21,22,battery energy storage system,127,131,no relation found
"In multi-storey buildings , different floors are connected with stairs , escalators , and / or elevators . However , they are very challenging to be reconstructed with SfM techniques , due to featureless surfaces or repetitive and non-distinctive patterns . As a result , it is very challenging to obtain a single SfM-based 3 model that covers all the floors . Instead , we build one model for each floor and connect them together using connecting paths . In our system , we rely on barometer readings collected along user trajectories to identify the connecting paths between floors and to further provide crossfloor navigation services .",multi-storey buildings,1,3,crossfloor navigation services,103,106,no relation found
"The induction of dormancy in predatory species is a widespread adaptation that allows predators to survive harsh environmental conditions . Hibernation in mammals is common in temperate then as long as entering dormancy costs energy and prevents predation , dormancy should never be advantageous relative to staying active and consuming more prey . It is only when prey levels are occasionally low that dormancy might be useful . Preventing population cycles thus cannot confer dormitive predators a competitive edge over perennially active mutants .",predatory species,5,7,dormitive predators,74,76,no relation found
"Orthogonal array design is an analysis method for multi-factor and multi-level objects . The orthogonal design considers the combination of factors and levels as a research node , and representative nodes can be selected for analysis through standard orthogonal tables , which can reveal the effect of various factors on performance , and help select the optimal structural parameter combination . According to the three - core structural parameters of the splitter blade , an L16 ( 2 3 4 2 ) mixed orthogonal research scheme was developed .",The orthogonal design,13,16,the optimal structural parameter combination,55,60,The orthogonal design can help select the optimal structural parameter combination.
"Quality function deployment ( QFD ) is a popular tool for product development in industry . QFD aims at setting targets for product characteristics so that products optimally meet customer demands . In this article , the focus is not on the actual effects of QFD but on more fundamental possibilities and limitations of QFD . In particular , I will discuss a number of methodological problems in QFD . One of the most disturbing methodological problems is the impossibility of translating individual into collective customer demands and the impossibility of translating customer demands into engineering characteristics without violating one or more very reasonable conditions . These problems are due to Arrow 's Impossibility Theorem . I discuss whether a number of alternative QFD approaches are helpful in overcoming these methodological problems and suggest directions for the further development of QFD and for research .",the most disturbing methodological problems,72,77,Arrow 's Impossibility Theorem,111,115,One of the most disturbing methodological problems is due to Arrow 's Impossibility Theorem .
"The need for additional research on the effects of the emerging technological field of Industry 4.0 on the SM is evident . Future works could also extend the analysis through empirical studies or case studies , and into other frameworks beyond the industrial field . Similarly , it may be interesting to introduce the development of standards or metrics of performance for Industry 4.0 , since currently the only specific metrics are aimed at evaluating the degree of implementation and performance of main technologies 4.0 , but there is no consensus among researchers about comprehensive performance indicators in this area . All of these opportunities can offer supplementary comprehension into this developing field of connections among sustainability and Industry 4.0 . Clearly , this field of research has plentiful space to grow in terms of study opportunities .",the SM,17,19,empirical studies,30,32,no relation found
"Reliability . Two English language teachers who know Turkish and English fluently detected the errors committed in the written sentences produced by the students . Cohen 's Kappa inter-rater reliability was employed to check whether the errors committed were "" errors . "" Cohen 's Kappa statistics is used to measure inter-rater reliability of two raters .",Two English language teachers,2,6,the written sentences,17,20,Two English language teachers who know Turkish and English fluently detected the errors committed in the written sentences.
"Another disadvantage of the verb-noun representation is that it does not yield complete sentences . The verb-noun phrases typically do not contain a subject . Pahl and Beitz ( 2013 ) state that in innovative design one should engage in solution - free function modeling . Therefore , they argue that a function should not contain a subject .",the verb-noun representation,3,6,solution - free function modeling,40,45,no relation found
"During the Bush administration period , the domestic coverage primarily focused on human rights in the context of either foreign policy in general ( i.e. , the role of human rights in policy ) or more specifically , within the context of - North Korean relations . It targeted the policy community , subject matter specialists , and the public . A minority of the media coverage focused specifically on human rights in North Korea as a policy issue . In this coverage , the target audience was the human rights community . International media coverage was more varied . Forty -two percent of the media coverage focused on the human rights issue within the context of Inter - Korean relations , - South Korea relations , or specific developments within South Korea such as domestic tensions . Thirty - seven percent of the coverage focused on relations with the international community or specific actors within the international community and their relations with North Korea or in response to foreign policy . Finally , 21 of the international media coverage focused on - China relations and China 's treatment of and policy toward North Korea defectors , refugees , asylees , and economic irregular migrants , A majority of the coverage under the Obama administration targeted an international audience rather than the domestic audience . This finding confirms the assumption that between the years 2004 and 2014 , the United States sought to bring greater attention to the human rights issue in the international community but also finds that the real turning point in terms of framing occurred during the Obama administration . The international coverage focused primarily on bringing attention to and generating global awareness of the human rights abuses in North Korea , presenting defector narratives , calling for the international community ( and the UN in particular ) to act , and highlighting the actions undertaken by the UN . Non-state actors from the human rights community including activists and subject matter specialists and policymakers who advocated for the centrality of human rights in dialogue with North Korea were primarily targeted in the coverage . The domestic coverage primarily focused on and debated whether human rights should be a foreign policy agenda item in - North Korean relations , with some members of Congress calling for policy action . Both the debate and the calls occurred amidst coverage of the Americans who were detained for illegal entry and committing crimes under North Korean law . The policymaking community and subject matter specialists were the primary targets of the coverage .",China,183,184,Congress,386,387,no relation found
"To demonstrate our proposed learned integrated sensing pipeline ( LISP ) , we jointly optimize the illumination and detection properties of dynamic metasurface transceivers , along with a simple neural network classifier , for the task of scene classification . We consider the dummy task of recognizing "" handwritten "" metallic digits in simulation . Replacing this dummy task with a more realistic scenario , such as concealed - threat detection , hand - gesture recognition , or fall detection , is conceptually straightforward . To construct the LISP , we first formulate an analytical forward model of the measurement procedure . Second , we allow certain key parameters within the "" physical "" forward model to act as unknown weights ( here the reconfigurable resonance frequency of each metamaterial element ) that we aim to optimize over . Third , we merge this weighted physical model into an ANN classifier , and use supervised learning to jointly train the unknown weights in both to maximize the system 's classification accuracy .",our,2,3,scene classification,37,39,no relation found
"In UI position , the majority of the tokens have word level scope . With time , however , more tokens have a scope wider than the word . By the 2000s - 10s , the proportion of tokens that have phrase - level scope occupies 32 . These values indicate , first , that the majority of the tokens in UI position have narrow scope , a lexical word , and also that their scope has slightly expanded from a lexical word to a larger non-lexical unit such as phrases and clauses , thus over time appearing more frequently after such functional words as postpositions and connective particles . Similarly , in RP position , the majority of the tokens have word - level scope . However , the proportion of tokens that have phrase - level scope increases with time , reaching 50 in the 2000s - 10s . Overall , thus , RP tokens have a wider scope than UI tokens do . In the LP position , the pattern is considerably different . The majority of the LP tokens have phrase - level scope . With time , the majority of the tokens shift to clause / sentence - level scope , indicating scope expansion .",the LP,167,169,scope expansion,207,209,"The majority of the LP tokens shift to clause / sentence - level scope , indicating scope expansion ."
"Mat ern point processes of type II are well suited to model networks with carrier sensing for the following reasons : As opposed to Poisson cluster processes ( e.g. , Mat ern or Thomas cluster processes ) , a Mat ern hard - core process is introducing a minimum distance between each pair of concurrently sending nodes . By doing so , it avoids co-located nodes to send simultaneously similar to carrier sensing . Furthermore , due to its construction , Mat ern hard - core processes of type II are especially well suited to model medium access control , since the random nature of Mat ern thinning is realistically modeling the random selection of the nodes that are allowed to send . For example , when two co-located nodes try to send , the node sending first is selected due to random backoff leading to a different result every time this situation occurs . The same holds for the Mat ern thinning .",its construction,78,80,two co-located nodes,127,130,no relation found
"The data used in this paper were collected during the PhD research of the principal author . We would like to acknowledge The University of Adelaide , Australia , where the research work was based and funded ; Pokhara University for providing the corresponding author with study leave . The gender component of analysis is also supported by Pokhara University Research Centre , Faculty Research Grant No : 03/2072/73 ; and Pawan Chitrakar , Kamal Singh Thapa , Dharma Raj Parajuli , and Deependra Pandit for their help during the fieldwork . We would also acknowledge the constructive feedback of anonymous reviewers of our manuscript and the editors of the journal .",The gender component,49,52,our manuscript,103,105,no relation found
"In addition to developing these new spatial deflators and demonstrating their impact on estimates of regional inequality for urban China , we show a mismatch between the trends in regional inequality and the perceptions about these trends . The reform era has seen regional inequality in China fall significantly since 1978 . For example , the Theil index for interprovincial inequality in 2016 was at just 46 of its level in 1978 , with the only sustained period of rising inequality from 1990 to 1993 . 1 This trend is for inequality in nominal terms , because we lack data for spatial deflation in early years of the reform period ; however , the nominal data overstate spatial inequality by at least 27 at the end of the period due just to housing cost variation over space . To the extent that much of this variation is recent , as China 's real estate market has developed , spatial deflation in earlier periods would have made less difference , and so the trend of declining regional inequality should be even stronger in real terms than in nominal terms .",The reform era,38,41,a mismatch,23,25,no relation found
"Although structural and political economic conditions in Indonesia are less conducive to the growth of renewable energy , they are not insurmountable with improved policy - making and the political will to take on structural reforms . If Indonesia is serious about pursuing pledges to reduce its carbon footprint and develop a vibrant renewable sector , policy - makers must figure out how to sustainably finance the high initial capital costs of such an undertaking . This could be done with domestic bond issues , or loans from development banks like the Asian Development Bank or World Bank , which have shown willingness to finance such projects if the host country can demonstrate its ability to efficiently implement them .",structural and political economic conditions,1,6,the growth,12,14,Structural and political economic conditions in Indonesia are less conducive to the growth of renewable energy.
"The purpose of DMC was to bring together technology and creativity and to encourage the exchange of ideas by bringing together advanced digital media companies and combining technology - based businesses with creative ideas . Three main industry fields - media and entertainment ( broadcasting , game , film / animation , music , and digital education ) , software related to media and entertainment , and IT related to media and entertainment - are the focus of DCM . As of March 2017 , there were 476 companies ( fewer than the 800 initially targeted ) , with over 41,000 employees , resident in DMC ; 57 are in media and entertainment , 385 in IT , and 5 in news and broadcasting . Over 90 of the office occupants are small - and medium - sized enterprises ; 6 are public sector institutions . Large companies make up only 4 of the total . ( The SBA , the government agency in charge of DMC , is focused on small - and medium - sized enterprises and job creation . ) There are 42 completed buildings ; they are 94 full . Major tenants include Samsung SDS , Munhwa Broadcasting Corporation , Gugak FM Radio , JTBC television network , YTN 24 - hr news channel , Channel , and CJ Corporation ( information based on visit to DMC in 2017 and meetings with the Seoul Business Association , 2017 ) . KOCCA has an office at DMC as does National IT Promotion Association . DMC holds events ( including virtual reality contents competitions , the DMC convergence forum , and street festivals ) . It is often used as a set for films , dramas , and variety shows . In 2014 , 2015 , and 2016 , DMC hosted film festivals that attracted half a million visitors each year . Digital Media Street , described as where "" imagination and dreams are realized by advanced digital technology "" ( presentation by Soohyun Kim and Jeonghyeon Lee , SBA , 2017 ) , runs through the DMC .",music,52,53,half a million visitors,307,311,no relation found
"On the contrary , the binding phase Co existed in the face - centered form Co before the DCT but was transformed into the densely arranged hexahedron . These crystals enjoyed low friction coefficient , not only lowering the cutting temperature but also increasing the tool wear resistance . The adhesive wear was not unlikely to happen for these crystals as well , which can also explain why the DCT tool had the long service life . This comparison can to a large extent prove the better machined surface quality and probably the integrity by utilizing the DCT tool in comparison with the conventional tool . The surface roughness R a and by the conventional tool was higher than those of the DCT tool . The maximum , minimum , and average a and values of the surface milled by the conventional tool were separately of 0.496 mm , of 0.31 mm , of 0.4 mm , of 3.458 mm , of 1.988 mm , and of 2.61 mm . However , these roughness values were reduced by employing the DCT tool , that is , of 0.399 mm , of 0.293 mm , of 0.34 mm , of 2.028 mm , of 1.879 mm , and of 2.02 mm . This means that the surface roughness machined by the DCT tool was improved by 25 to 70 for the maximum a and values , by 5 to 6 for the minimum a and values , and 17 to 30 for the average a and values .",The adhesive wear,49,52,2.028 mm,199,201,no relation found
"To be more specific with this inventory and its efficacy in teacher evaluation , each competence indicators are reviewed . The first competence is critical competence which requires teachers being engaged with teamwork , maximizing teaching quality via asking and suggesting critical ideas , volunteering in policy and program making tasks and initiating actions , and sharing innovations and developments .",The first competence,20,23,innovations,57,58,The first competence requires teachers sharing innovations.
"The process is complex , and the working conditions are confined . Pilot holes are drilled on the cleats during their manufacture . These holes are then transferred to the adjacent structure after locating and clamping individual cleats in position . As well as the many steps involved in drilling each hole of each cleat , there are a variety of cleats differing by shape , dimensions , and hole locations . Therefore , as well as the many drilling steps for each hole in each cleat , the hole positions vary on the cleats themselves . This adds an extra step on each drilling operation for measurement . In one particular aircraft , there are 123 cleat variations . In total , there are 150 cleats which are installed . Many of these cleats are similar in shape but have slight differences in dimensions . Many times dimensions vary from one cleat to the next by 0.1 or 0.2 mm . The most commonly occurring cleat shape is the butterfly shape , as shown in .",total,121,122,cleats,18,19,"In total, there are 150 cleats installed."
"To maintain a fast response speed and high steadystate accuracy of the PV system under changing environmental conditions , this paper proposes an improved incremental conductance method . The MPPT control system is different from the module building method adopted at present , and combined with an optimized control algorithm , it can achieve a more accurate , faster and more stable tracking effect .",this paper,19,21,changing environmental conditions,15,18,This paper maintained accuracy under changing environmental conditions.
"model Geometric model . Because the load and structure are symmetrical , to improve the speed and efficiency of the calculation , the model was simplified to a twodimensional axisymmetric model . Unit type . and X- type sealing rings were rubber , and a nonlinear hyperelastic material element HYPER74 was used . The bearing and cone materials were wearresistant , and a linear incompressible material unit PLANE183 ( two-dimensional eight node ) was used . Material parameters . The characteristics of the metal material are described by the linear isotropic model with an elastic modulus and a Poisson ratio . The characteristics of the rubber material are described by the models of the linear isotropic and the Mooney - Rivlin equation . The models are expressed by the elastic modulus , Poisson 's ratio , and five constants .",the load,5,7,the Mooney - Rivlin equation,117,122,no relation found
"The eighth assumption , which is derived from the human rights literature on North Korea , avers that North Korea has been actively using human rights discourse in its public discourse . North Korea recognizes the general principles of the UN Declaration of Human Rights but places emphasis on socioeconomic rights and adopts a particularist interpretation of rights toward implementation . Its discursive approach therefore is philosophically at odds with the traditional rights - based discursive approach of the United States However , both the United States and North Korea converge on the particularist interpretation to the implementation of rights . The particularist interpretation , as discussed in more detail in Section 3 , asserts that national governments must factor in both the domestic context and social , economic , and political development in their application of a rights - based policy . Greater emphasis on socioeconomic rights rather than sociopolitical rights in North Korea 's rights problem is likely to reduce the government 's hostility to engagement . It is in this context that the convergence of the human rights and human security discourses becomes relevant . The human security discourse places greater emphasis on socioeconomic rights and development than the traditional human rights - based discourse .",The particularist interpretation,101,104,North Korea,13,15,no relation found
"The catheter string moves in the blood vessel and the guide wide string moves in the catheter string . A mathematical model for analysing the catheter string moving in the blood vessel is appropriate for analysing the guide wide string moving in the catheter string by replacing the blood vessel diameter with the catheter string inner diameter , the catheter string outer diameter with the guide wide string outer diameter , etc . The mathematical model for analysing the catheter string moving in the blood vessel is as follows .",The mathematical model,73,76,the catheter string inner diameter,52,57,no relation found
"VM images and instances are vulnerable to attacks from the time they are created , during their transfer to the CSP , in storage in the cloud , while running , and when they are migrated within the cloud . Any unauthorized access or manipulation of VM image file can undermine trust in it . Infecting images can be more damaging than ' stealing ' them because instances based on the infected image will continue to process sensitive data and may expose it to further exploitation . Integrity checks that are both stringent and regularly performed can provide some assurance regarding the health of the image , but such checks can be defeated .",manipulation,44,45,the cloud,25,27,no relation found
"The majority of the gathered methods support idea generation , potentially giving rise to many new product alternatives . This divergent phase must be followed by a convergent stage , capable of distinguishing the most successful options . In this sense , the existence of means to perform idea selection ( 9 ) represents a desirable property of Product Planning methods . It has to be noted that , however , several decision strategies exploit information that is extremely subjective or unreliable . It then comes out that it is preferable to opt for decision criteria not requiring a big amount of individual judgements and uncertain data ( 10 ) .",means,45,46,exploit,74,75,no relation found
"For the purposes of the development of the TSLOC scale , tertiary education is defined as any postsecondary / high school education . It refers to academic pursuits after postsecondary / high school level . Tertiary education programs can be broken into two groups : undergraduate and graduate . Undergraduate programs consist of any postsecondary / high school education that takes 3 to 4 years to complete . It includes certificates , diplomas , associate 's , and bachelor 's degrees . Graduate programs require completion of an undergraduate degree . It includes diploma , certificate , master 's , and doctoral degree programs . Tertiary education programs can be accessed at vocational schools , technical schools , community colleges , professional schools , colleges , and universities . For this study , undergraduate students made up the sample group .",the TSLOC scale,7,10,certificates,70,71,no relation found
